,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1150864,80
1,Memento,2000,8.5,80,988101,80
2,Snatch,2000,8.3,55,691194,80
3,Requiem for a Dream,2000,8.3,68,670832,80
4,X-Men,2000,7.4,64,515194,70
5,Cast Away,2000,7.8,73,453270,70
6,American Psycho,2000,7.6,64,412160,70
7,Unbreakable,2000,7.3,62,302832,70
8,Meet the Parents,2000,7.0,73,285585,70
9,Mission: Impossible II,2000,6.1,59,278110,60
10,"O Brother, Where Art Thou?",2000,7.8,69,253312,70
11,Gone in Sixty Seconds,2000,6.5,35,239012,60
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,234509,70
13,The Patriot,2000,7.2,63,230090,70
14,Almost Famous,2000,7.9,90,228452,70
15,Pitch Black,2000,7.1,49,209558,70
16,Scary Movie,2000,6.2,48,207863,60
17,"Me, Myself & Irene",2000,6.6,49,203828,60
18,Final Destination,2000,6.7,36,203162,60
19,The Beach,2000,6.6,43,200797,60
20,Amores Perros,2000,8.1,83,200370,80
21,Traffic,2000,7.6,86,182350,70
22,Remember the Titans,2000,7.8,48,178850,70
23,What Women Want,2000,6.4,47,175170,60
24,How the Grinch Stole Christmas,2000,6.1,46,167514,60
25,Chocolat,2000,7.3,64,164047,70
26,Miss Congeniality,2000,6.2,43,160299,60
27,Charlie's Angels,2000,5.5,52,158588,50
28,Chicken Run,2000,7.0,88,157723,70
29,High Fidelity,2000,7.5,79,154957,70
30,Battle Royale,2000,7.7,81,154638,70
31,Erin Brockovich,2000,7.3,73,152348,70
32,The Emperor's New Groove,2000,7.3,70,151527,70
33,Road Trip,2000,6.5,55,144878,60
34,The Perfect Storm,2000,6.4,59,143446,60
35,"Dude, Where's My Car?",2000,5.5,30,125893,50
36,Hollow Man,2000,5.7,24,111699,50
37,Scream 3,2000,5.5,56,110033,50
38,Billy Elliot,2000,7.7,74,109797,70
39,Shanghai Noon,2000,6.6,77,107909,60
40,The 6th Day,2000,5.9,49,107793,50
41,What Lies Beneath,2000,6.6,51,107245,60
42,Pay It Forward,2000,7.2,40,104690,70
43,The Whole Nine Yards,2000,6.7,47,99549,60
44,In the Mood for Love,2000,8.1,85,98897,80
45,Coyote Ugly,2000,5.6,27,98432,50
46,Men of Honor,2000,7.2,56,98194,70
47,The Family Man,2000,6.7,42,94191,60
48,Frequency,2000,7.4,67,91655,70
49,Dançando no Escuro,2000,8.0,61,89763,80
50,Bedazzled,2000,6.0,49,88872,60
51,Little Nicky,2000,5.3,38,88639,50
52,The Cell,2000,6.3,40,87061,60
53,Bring It On,2000,6.0,52,78255,60
54,Finding Forrester,2000,7.3,62,77548,70
55,Malena,2000,7.5,54,76163,70
56,Big Momma's House,2000,5.1,33,73818,50
57,The Road to El Dorado,2000,6.9,51,71140,60
58,Battlefield Earth,2000,2.4,9,70916,20
59,U-571: A Batalha do Atlântico,2000,6.6,62,70738,60
60,Space Cowboys,2000,6.4,73,66362,60
61,Mission to Mars,2000,5.6,34,65578,50
62,Shaft,2000,5.9,50,63522,50
63,Romeo Must Die,2000,6.1,52,61728,60
64,Wonder Boys,2000,7.4,73,57724,70
65,The Gift,2000,6.7,62,57045,60
66,Titan A.E.,2000,6.6,48,55328,60
67,Vertical Limit,2000,5.9,48,53867,50
68,The Crimson Rivers,2000,6.9,49,52957,60
69,The Replacements,2000,6.5,30,52856,60
70,Proof of Life,2000,6.2,45,52057,60
71,Red Planet,2000,5.7,34,51366,50
72,Best in Show,2000,7.5,78,50064,70
73,The Legend of Bagger Vance,2000,6.7,47,49537,60
74,Thirteen Days,2000,7.3,67,49359,70
75,Sexy Beast,2000,7.3,79,48506,70
76,Quills,2000,7.3,70,48059,70
77,Keeping the Faith,2000,6.4,60,47170,60
78,Boiler Room,2000,7.0,63,45322,70
79,Dinosaur,2000,6.5,56,45131,60
80,Nine Queens,2000,7.9,80,44222,70
81,Nutty Professor II: The Klumps,2000,4.4,38,44098,40
82,Rules of Engagement,2000,6.4,45,40681,60
83,28 Days,2000,6.0,46,38886,60
84,The Kid,2000,6.1,45,37159,60
85,Shadow of the Vampire,2000,6.9,71,36825,60
86,Possuída,2000,6.8,70,36759,60
87,Tigerland,2000,7.0,55,35619,70
88,Reindeer Games,2000,5.7,37,34240,50
89,Small Time Crooks,2000,6.7,69,33905,60
90,Chopper - Memórias de um Criminoso,2000,7.2,65,33850,70
91,Book of Shadows: Blair Witch 2,2000,4.0,15,32734,40
92,Next Friday,2000,6.1,41,32202,60
93,A Enfermeira Betty,2000,6.2,69,31430,60
94,102 Dalmatians,2000,4.9,35,30278,40
95,Get Carter,2000,5.1,24,29885,50
96,Dracula 2000,2000,4.9,26,29574,40
97,Dungeons & Dragons,2000,3.7,14,29503,30
98,The Way of the Gun,2000,6.7,49,29494,60
99,Where the Heart Is,2000,6.8,30,29447,60
100,The Skulls,2000,5.6,24,28988,50
101,The Art of War,2000,5.7,30,26921,50
102,Vampire Hunter D: Bloodlust,2000,7.7,62,25763,70
103,You Can Count on Me,2000,7.6,85,25368,70
104,Pollock,2000,7.0,77,25047,70
105,Loser,2000,5.3,35,24633,50
106,The Watcher,2000,5.3,22,23799,50
107,Autumn in New York,2000,5.6,24,22543,50
108,Joint Security Area,2000,7.9,58,22419,70
109,Antes do Anoitecer,2000,7.3,85,22316,70
110,The Contender,2000,7.0,59,21623,70
111,Brother,2000,7.2,47,20157,70
112,Sob Suspeita,2000,6.5,43,20119,60
113,O Hotel de Um Milhão de Dólares,2000,5.9,25,19557,50
114,Deu a Louca nos Astros,2000,6.8,75,19248,60
115,Bem-Vindos,2000,7.5,84,18954,70
116,In July,2000,7.8,71,18812,70
117,Bounce,2000,5.7,52,18809,50
118,The Flintstones in Viva Rock Vegas,2000,3.6,27,18060,30
119,The Adventures of Rocky & Bullwinkle,2000,4.2,36,17945,40
120,My Dog Skip,2000,7.1,61,17931,70
121,Return to Me,2000,6.9,54,17906,60
122,Highlander: Endgame,2000,4.6,21,17873,40
123,The Yards,2000,6.4,58,17792,60
124,Center Stage,2000,6.7,52,17127,60
125,Flickering Lights,2000,7.7,47,16971,70
126,Dr. T & the Women,2000,4.6,64,16553,40
127,Saving Grace,2000,6.9,62,16462,60
128,Love & Basketball,2000,7.2,70,16141,70
129,Yi Yi,2000,8.1,93,15978,80
130,Supernova,2000,4.8,19,15917,40
131,Rape Me,2000,4.5,35,15634,40
132,The Tigger Movie,2000,6.3,53,15019,60
133,Canções do Segundo Andar,2000,7.7,76,14986,70
134,Boys and Girls,2000,5.4,29,14821,50
135,Lenda Urbana 2,2000,4.2,16,14371,40
136,The Dish,2000,7.2,74,13918,70
137,The Princess and the Warrior,2000,7.5,64,13562,70
138,Gossip,2000,5.9,31,13393,50
139,The Man Who Cried,2000,6.2,40,13349,60
140,Down to You,2000,4.9,13,13263,40
141,Bless the Child,2000,5.1,17,13019,50
142,Ready to Rumble,2000,5.3,23,12659,50
143,Drowning Mona,2000,5.6,25,12442,50
144,Cecil Bem Demente,2000,6.2,57,12273,60
145,All the Pretty Horses,2000,5.8,55,12186,50
146,Italiano Para Principiantes,2000,7.1,77,12040,70
147,Gangster No. 1,2000,6.8,60,11981,60
148,Animal Factory,2000,6.6,65,11620,60
149,The Ladies Man,2000,5.1,22,11516,50
150,A Ilha,2000,7.0,61,11285,70
151,Blood: The Last Vampire,2000,6.7,44,11049,60
152,Linhas Cruzadas,2000,4.8,33,11001,40
153,Anatomia,2000,6.1,33,10819,60
154,A Harmonia Werckmeister,2000,8.2,92,10584,80
155,Snow Day,2000,5.0,34,10333,50
156,Code Unknown,2000,7.2,74,10050,70
157,The Next Best Thing,2000,4.7,25,10031,40
158,Lost Souls,2000,4.8,16,9911,40
159,A Isca,2000,5.8,39,9808,50
160,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1435483,80
161,A Beautiful Mind,2001,8.2,72,733331,80
